Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-05-21,121.513603,127.198898,49.209773999999996,65.66999799999999,42.489033,101.97144300000001,24.517494,50.82,16.624372,32.461174,50.109482,30.893789,40.922371000000005,0.31,0.93,-0.28,0.018000000000000002
2007-05-22,121.418007,126.96331,49.693245000000005,65.199997,42.525188,101.97144300000001,24.178852,49.919998,16.797672,32.219746,50.319054,30.701771,40.969467,0.08,0.7,-0.04,0.018000000000000002
2007-05-23,121.433998,127.189545,49.762306,65.540001,42.326344,102.02735899999999,24.285284,50.169998,16.741968,32.04797,50.655857,30.810575,41.178020000000004,-0.18,-0.21,-0.12,0.018000000000000002
2007-05-24,120.33465600000001,126.831291,49.520569,64.75,41.720772,102.045952,24.720675,48.93,16.516054,31.021889,49.181389,30.040365,40.693638,-1.07,-0.43,-0.04,0.018000000000000002
2007-05-25,120.836525,127.019829,49.313373999999996,64.940002,41.982890999999995,102.064667,25.156069,49.5,16.577951000000002,31.809628000000004,49.622978,30.311334999999996,41.070374,0.55,0.23,-0.07,0.018000000000000002
2007-05-29,121.274658,127.03870400000001,49.831375,65.07,42.308265999999996,102.073952,24.749702,48.400002,16.695549,31.846767,49.510708,30.40307,41.083824,0.24,0.6,0.01,0.018000000000000002
2007-05-30,122.262405,126.96331,49.934975,64.720001,42.651711,102.120544,25.378605,48.209998999999996,16.689356,32.558673999999996,49.211334,30.575895000000003,41.238564000000004,0.77,-0.23,-0.02,0.018000000000000002
2007-05-31,122.13498700000001,127.12352,50.418442,65.540001,42.850567,102.129829,25.494711,48.959998999999996,16.633657,32.584998999999996,49.241264,30.701771,41.500923,0.13,0.34,-0.3,0.018000000000000002
2007-06-01,122.740402,126.936356,50.694697999999995,66.440002,42.877666,102.145752,25.533410999999997,49.459998999999996,16.757441,33.617233,49.697826,31.032475,41.80365,0.44,0.36,-0.05,0.019
2007-06-04,122.756325,127.52231599999999,50.867359,66.540001,43.004211,102.19255799999999,25.378605,50.349998,16.769823000000002,33.525936,49.428383,31.352493,41.884373,0.18,0.07,0.0,0.019
2007-06-05,122.27040900000001,127.84375,50.798302,66.370003,43.004211,102.183174,25.456007,50.02,16.714121,33.320107,48.911942,31.230883000000002,41.615288,-0.55,-0.12,-0.22,0.019
2007-06-06,120.95603200000001,127.654678,50.591095,66.410004,42.543265999999996,102.201904,25.262501,50.310001,16.488207,32.376053000000006,48.61256,30.840452000000003,40.861816,-0.92,0.08,0.05,0.019
2007-06-07,118.773338,126.926872,50.383904,65.260002,41.883476,102.248688,25.697891000000002,50.650002,16.030201,31.348442,47.474892,30.424408000000003,39.893085,-1.75,-0.04,0.06,0.019
2007-06-08,120.31869499999999,126.378708,50.625637,64.220001,42.398643,102.267403,25.572113,49.060001,16.153986,32.167126,47.602135,30.936455,40.498535,1.07,-0.06,0.03,0.019
2007-06-11,120.525856,126.321999,50.556576,64.699997,42.31728,102.276749,25.988155,49.84,16.194214000000002,32.598911,48.335632,30.936455,40.478355,0.08,-0.29,0.1,0.019
2007-06-12,119.21145600000001,125.849419,49.900436,64.099998,42.064223999999996,102.28609499999999,26.094584,49.560001,15.937362,31.96129,47.452446,30.409468,39.724903000000005,-1.06,-0.16,-0.18,0.019
2007-06-13,120.995842,126.047874,50.03857,64.529999,42.525188,102.267403,26.394524,50.09,16.169466,32.694866,47.946426,30.893789,40.384190000000004,1.37,-0.2,-0.1,0.019
2007-06-14,121.768547,125.981773,50.107642999999996,64.599998,42.805367,102.342239,26.607382,51.099998,16.293245000000002,33.343315000000004,48.78471,31.0154,40.942562,0.5,0.1,-0.06,0.019
2007-06-15,122.46138799999999,126.643394,50.556576,64.849998,43.200649,102.370323,26.965372,51.529999,16.568457000000002,34.118656,49.316116,31.267159000000003,41.56657,0.69,0.52,-0.07,0.019
